Assessments,,,,,,,,,,,,
7/14/2022,,,,,,,,,,,,
,,,,,,,,,,,,
Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass,Percent Proficiency,Advance,Fail,Record Count
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,MATH,Mathematics,45,42,3,55,122
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,MATH,Mathematics,35,34,1,65,136
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,MATH,Mathematics,13,13,-,88,16
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,MATH,Mathematics,50,46,4,50,108
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,MATH,Mathematics,33,26,7,67,27
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,MATH,Mathematics,63,56,6,38,32
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,SCI,Science,40,36,4,60,75
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,SCI,Science,83,58,25,17,12
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,SCI,Science,43,40,2,57,47
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,SCI,Science,33,33,-,67,46
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,SCI,Science,36,29,7,64,28
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,SCI,Science,25,17,8,75,12
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,ENGR,English Reading,45,43,3,55,195
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,ENGR,English Reading,85,85,-,15,13
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,ENGR,English Reading,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,ENGR,English Reading,48,46,2,52,91
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,ENGR,English Reading,37,36,1,63,138
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,ENGR,English Reading,12,12,-,88,34
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,ENGR,English Reading,42,39,3,58,104
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,ENGR,English Reading,28,28,-,72,18
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,White,,ENGR,English Reading,56,44,12,44,25
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,MATH,Mathematics,31,29,2,69,199
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,MATH,Mathematics,69,63,6,31,16
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,MATH,Mathematics,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,MATH,Mathematics,30,30,-,70,91
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,MATH,Mathematics,22,21,1,78,140
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,MATH,Mathematics,17,17,-,83,35
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,MATH,Mathematics,31,29,3,69,108
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,MATH,Mathematics,-,-,-,100,18
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,White,,MATH,Mathematics,46,42,4,54,24
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,All Students,,SCI,Science,30,26,5,70,66
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Female,,SCI,Science,19,19,-,81,27
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Hispanic,,SCI,Science,24,22,2,76,50
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Homeless,,SCI,Science,14,14,-,86,14
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Male,,SCI,Science,38,31,8,62,39
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sterling Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,ENGR,English Reading,44,43,2,56,195
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,ENGR,English Reading,72,67,6,28,18
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,ENGR,English Reading,46,46,-,54,13
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,ENGR,English Reading,50,48,2,50,100
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,ENGR,English Reading,37,36,1,63,149
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,ENGR,English Reading,17,17,-,83,29
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,ENGR,English Reading,38,37,1,62,95
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,ENGR,English Reading,17,17,-,83,18
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,ENGR,English Reading,70,70,-,30,10
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,MATH,Mathematics,41,40,2,59,194
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,MATH,Mathematics,78,67,11,22,18
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,MATH,Mathematics,17,17,-,83,12
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,MATH,Mathematics,40,38,2,60,99
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,MATH,Mathematics,35,35,-,65,149
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,MATH,Mathematics,23,23,-,77,31
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,MATH,Mathematics,42,41,1,58,95
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,MATH,Mathematics,17,17,-,83,18
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,MATH,Mathematics,90,90,-,10,10
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,All Students,,SCI,Science,14,14,-,86,42
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Asian,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Female,,SCI,Science,5,5,-,95,19
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Hispanic,,SCI,Science,3,3,-,97,30
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Homeless,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Male,,SCI,Science,22,22,-,78,23
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,Students with Disabilities,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sugarland Elementary,SCH,White,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,ENGR,English Reading,41,35,6,59,207
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,American Indian,,ENGR,English Reading,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,ENGR,English Reading,79,50,29,21,14
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Black,,ENGR,English Reading,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Female,,ENGR,English Reading,48,41,7,52,101
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Foster Care,,ENGR,English Reading,100,<,<,0,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,ENGR,English Reading,35,30,5,65,169
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,ENGR,English Reading,30,22,8,70,37
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Male,,ENGR,English Reading,35,29,6,65,106
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,ENGR,English Reading,35,8,27,65,37
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,White,,ENGR,English Reading,79,71,7,21,14
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,MATH,Mathematics,32,26,6,68,209
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,MATH,Mathematics,64,29,36,36,14
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Black,,MATH,Mathematics,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Female,,MATH,Mathematics,31,25,7,69,102
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,MATH,Mathematics,27,25,3,73,171
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,MATH,Mathematics,24,18,5,76,38
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Male,,MATH,Mathematics,33,28,5,67,107
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,MATH,Mathematics,35,8,27,65,37
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,White,,MATH,Mathematics,64,50,14,36,14
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,All Students,,SCI,Science,34,32,1,66,68
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Asian,,SCI,Science,100,<,<,0,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Black,,SCI,Science,<,<,<,<,0
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Female,,SCI,Science,39,36,3,61,33
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Hispanic,,SCI,Science,29,29,-,71,55
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Homeless,,SCI,Science,18,18,-,82,11
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Male,,SCI,Science,29,29,-,71,35
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,Students with Disabilities,,SCI,Science,17,17,-,83,12
2020 - 2021,Loudoun County Public Schools,Sully Elementary,SCH,White,,SCI,Science,<,<,<,<,0
