Assessments
6/15/2022

Year,Division,School,Level,Subgroup,"Test Level","Subject Area",Subject,"Percent Pass","Percent Proficiency",Advance,Fail,"Record Count"
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Male,5,MATH,"Grade 5 Mathematics",78,72,7,22,46
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Multiple Races",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Not Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",89,78,11,11,27
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students with Disabilities",5,MATH,"Grade 5 Mathematics",50,40,10,50,10
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students without Disabilities",5,MATH,"Grade 5 Mathematics",85,76,8,15,84
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,White,5,MATH,"Grade 5 Mathematics",82,73,9,18,11
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"All Students",,MATH,Mathematics,83,67,16,17,280
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"American Indian",,MATH,Mathematics,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Asian,,MATH,Mathematics,95,57,38,5,42
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Black,,MATH,Mathematics,73,65,8,27,26
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Economically Disadvantaged",,MATH,Mathematics,82,68,13,18,184
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"English Learners",,MATH,Mathematics,73,62,11,27,130
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Female,,MATH,Mathematics,83,69,14,17,137
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Hispanic,,MATH,Mathematics,81,71,9,19,159
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Homeless,,MATH,Mathematics,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Male,,MATH,Mathematics,83,65,17,17,143
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Multiple Races",,MATH,Mathematics,82,45,36,18,11
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Not Economically Disadvantaged",,MATH,Mathematics,85,65,21,15,96
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students with Disabilities",,MATH,Mathematics,59,28,31,41,32
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students without Disabilities",,MATH,Mathematics,86,72,14,14,248
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,White,,MATH,Mathematics,85,67,18,15,39
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"All Students",5,SCI,"Grade 5 Science",67,53,14,33,94
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"American Indian",5,SCI,"Grade 5 Science",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Asian,5,SCI,"Grade 5 Science",87,47,40,13,15
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Black,5,SCI,"Grade 5 Science",64,64,-,36,11
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Economically Disadvantaged",5,SCI,"Grade 5 Science",63,54,9,37,67
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"English Learners",5,SCI,"Grade 5 Science",38,35,3,62,34
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Female,5,SCI,"Grade 5 Science",65,52,13,35,48
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Hispanic,5,SCI,"Grade 5 Science",60,52,8,40,52
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Homeless,5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Male,5,SCI,"Grade 5 Science",70,54,15,30,46
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Multiple Races",5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Not Economically Disadvantaged",5,SCI,"Grade 5 Science",78,52,26,22,27
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students with Disabilities",5,SCI,"Grade 5 Science",50,20,30,50,10
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students without Disabilities",5,SCI,"Grade 5 Science",69,57,12,31,84
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,White,5,SCI,"Grade 5 Science",73,55,18,27,11
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"All Students",,SCI,Science,67,53,14,33,94
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"American Indian",,SCI,Science,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Asian,,SCI,Science,87,47,40,13,15
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Black,,SCI,Science,64,64,-,36,11
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Economically Disadvantaged",,SCI,Science,63,54,9,37,67
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"English Learners",,SCI,Science,38,35,3,62,34
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Female,,SCI,Science,65,52,13,35,48
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Hispanic,,SCI,Science,60,52,8,40,52
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Homeless,,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,Male,,SCI,Science,70,54,15,30,46
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Multiple Races",,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Not Economically Disadvantaged",,SCI,Science,78,52,26,22,27
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students with Disabilities",,SCI,Science,50,20,30,50,10
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,"Students without Disabilities",,SCI,Science,69,57,12,31,84
"2018 - 2019","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,White,,SCI,Science,73,55,18,27,11
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",,ENGR,"English Reading",60,50,10,40,234
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,,ENGR,"English Reading",83,69,14,17,36
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,,ENGR,"English Reading",76,71,6,24,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",,ENGR,"English Reading",47,44,3,53,146
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",,ENGR,"English Reading",29,29,-,71,107
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,,ENGR,"English Reading",58,45,13,42,131
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,,ENGR,"English Reading",45,39,6,55,130
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,,ENGR,"English Reading",33,33,-,67,33
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,,ENGR,"English Reading",63,56,7,37,103
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",,ENGR,"English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",,ENGR,"English Reading",60,50,10,40,10
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Native Hawaiian",,ENGR,"English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",,ENGR,"English Reading",82,60,22,18,88
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",,ENGR,"English Reading",31,28,3,69,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",,ENGR,"English Reading",65,53,11,35,202
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,,ENGR,"English Reading",86,62,24,14,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",3,ENGR,"Grade 3 English Reading",51,48,3,49,67
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",37,37,-,63,43
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",3,ENGR,"Grade 3 English Reading",29,29,-,71,41
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,3,ENGR,"Grade 3 English Reading",45,45,-,55,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,3,ENGR,"Grade 3 English Reading",34,32,2,66,47
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,3,ENGR,"Grade 3 English Reading",23,23,-,77,13
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,3,ENGR,"Grade 3 English Reading",55,50,5,45,38
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",3,ENGR,"Grade 3 English Reading",75,67,8,25,24
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",3,ENGR,"Grade 3 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",3,ENGR,"Grade 3 English Reading",52,49,3,48,61
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,3,ENGR,"Grade 3 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",4,ENGR,"Grade 4 English Reading",51,43,8,49,90
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,4,ENGR,"Grade 4 English Reading",65,59,6,35,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",41,36,5,59,66
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",4,ENGR,"Grade 4 English Reading",26,26,-,74,50
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,4,ENGR,"Grade 4 English Reading",46,37,9,54,54
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,4,ENGR,"Grade 4 English Reading",43,37,6,57,51
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,4,ENGR,"Grade 4 English Reading",36,36,-,64,11
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,4,ENGR,"Grade 4 English Reading",58,53,6,42,36
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Native Hawaiian",4,ENGR,"Grade 4 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",4,ENGR,"Grade 4 English Reading",79,63,17,21,24
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",4,ENGR,"Grade 4 English Reading",24,24,-,76,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",4,ENGR,"Grade 4 English Reading",58,48,10,42,73
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,4,ENGR,"Grade 4 English Reading",77,62,15,23,13
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",5,ENGR,"Grade 5 English Reading",79,60,19,21,77
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,5,ENGR,"Grade 5 English Reading",100,75,25,0,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",70,65,5,30,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",5,ENGR,"Grade 5 English Reading",38,38,-,63,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,5,ENGR,"Grade 5 English Reading",79,54,25,21,48
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,5,ENGR,"Grade 5 English Reading",66,53,13,34,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,5,ENGR,"Grade 5 English Reading",79,69,10,21,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",5,ENGR,"Grade 5 English Reading",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",5,ENGR,"Grade 5 English Reading",88,55,33,13,40
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",5,ENGR,"Grade 5 English Reading",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",5,ENGR,"Grade 5 English Reading",84,63,21,16,68
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,5,ENGR,"Grade 5 English Reading",88,50,38,13,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",3,MATH,"Grade 3 Mathematics",73,67,6,27,67
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",65,60,5,35,43
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",3,MATH,"Grade 3 Mathematics",63,63,-,37,41
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,3,MATH,"Grade 3 Mathematics",66,66,-,34,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,3,MATH,"Grade 3 Mathematics",66,64,2,34,47
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,3,MATH,"Grade 3 Mathematics",69,62,8,31,13
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,3,MATH,"Grade 3 Mathematics",79,68,11,21,38
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",3,MATH,"Grade 3 Mathematics",88,79,8,13,24
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",3,MATH,"Grade 3 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",3,MATH,"Grade 3 Mathematics",77,70,7,23,61
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,3,MATH,"Grade 3 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",4,MATH,"Grade 4 Mathematics",67,63,3,33,90
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,4,MATH,"Grade 4 Mathematics",71,65,6,29,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",64,62,2,36,66
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",4,MATH,"Grade 4 Mathematics",54,52,2,46,50
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,4,MATH,"Grade 4 Mathematics",61,57,4,39,54
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,4,MATH,"Grade 4 Mathematics",69,65,4,31,51
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,4,MATH,"Grade 4 Mathematics",45,45,-,55,11
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,4,MATH,"Grade 4 Mathematics",75,72,3,25,36
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Native Hawaiian",4,MATH,"Grade 4 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",4,MATH,"Grade 4 Mathematics",75,67,8,25,24
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",4,MATH,"Grade 4 Mathematics",29,29,-,71,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",4,MATH,"Grade 4 Mathematics",75,71,4,25,73
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,4,MATH,"Grade 4 Mathematics",69,69,-,31,13
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",5,MATH,"Grade 5 Mathematics",83,65,18,17,77
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,5,MATH,"Grade 5 Mathematics",94,75,19,6,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",76,68,8,24,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",5,MATH,"Grade 5 Mathematics",44,44,-,56,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,5,MATH,"Grade 5 Mathematics",81,60,21,19,48
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,5,MATH,"Grade 5 Mathematics",72,56,16,28,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,5,MATH,"Grade 5 Mathematics",86,72,14,14,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",5,MATH,"Grade 5 Mathematics",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",5,MATH,"Grade 5 Mathematics",90,63,28,10,40
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",5,MATH,"Grade 5 Mathematics",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",5,MATH,"Grade 5 Mathematics",88,68,21,12,68
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,5,MATH,"Grade 5 Mathematics",94,75,19,6,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",,MATH,Mathematics,74,65,9,26,234
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,,MATH,Mathematics,83,69,14,17,36
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,,MATH,Mathematics,82,65,18,18,17
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",,MATH,Mathematics,67,63,4,33,146
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",,MATH,Mathematics,56,55,1,44,107
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,,MATH,Mathematics,69,60,9,31,131
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,,MATH,Mathematics,68,62,6,32,130
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,,MATH,Mathematics,58,55,3,42,33
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,,MATH,Mathematics,80,71,9,20,103
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",,MATH,Mathematics,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",,MATH,Mathematics,60,50,10,40,10
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Native Hawaiian",,MATH,Mathematics,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",,MATH,Mathematics,85,68,17,15,88
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",,MATH,Mathematics,34,34,-,66,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",,MATH,Mathematics,80,70,10,20,202
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,,MATH,Mathematics,86,76,11,14,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",5,SCI,"Grade 5 Science",81,55,26,19,77
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,5,SCI,"Grade 5 Science",94,75,19,6,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",5,SCI,"Grade 5 Science",70,54,16,30,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",5,SCI,"Grade 5 Science",38,38,-,63,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,5,SCI,"Grade 5 Science",81,54,27,19,48
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,5,SCI,"Grade 5 Science",63,38,25,38,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,5,SCI,"Grade 5 Science",79,55,24,21,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",5,SCI,"Grade 5 Science",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",5,SCI,"Grade 5 Science",100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",5,SCI,"Grade 5 Science",90,55,35,10,40
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",5,SCI,"Grade 5 Science",<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",5,SCI,"Grade 5 Science",85,56,29,15,68
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,5,SCI,"Grade 5 Science",94,63,31,6,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"All Students",,SCI,Science,81,55,26,19,77
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Asian,,SCI,Science,94,75,19,6,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Black,,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Economically Disadvantaged",,SCI,Science,70,54,16,30,37
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"English Learners",,SCI,Science,38,38,-,63,16
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Female,,SCI,Science,81,54,27,19,48
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Hispanic,,SCI,Science,63,38,25,38,32
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Homeless,,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,Male,,SCI,Science,79,55,24,21,29
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Military Connected",,SCI,Science,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Multiple Races",,SCI,Science,100,<,<,0,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Not Economically Disadvantaged",,SCI,Science,90,55,35,10,40
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students with Disabilities",,SCI,Science,<,<,<,<,0
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,"Students without Disabilities",,SCI,Science,85,56,29,15,68
"2018 - 2019","Loudoun County Public Schools","Sterling Elementary",SCH,White,,SCI,Science,94,63,31,6,16
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,"All Students",,ENGR,"English Reading",58,49,8,42,291
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,Asian,,ENGR,"English Reading",64,52,12,36,25
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,Black,,ENGR,"English Reading",52,48,5,48,21
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,"Economically Disadvantaged",,ENGR,"English Reading",50,44,6,50,216
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,"English Learners",,ENGR,"English Reading",35,32,3,65,158
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,Female,,ENGR,"English Reading",62,51,11,38,140
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,Hispanic,,ENGR,"English Reading",51,44,7,49,208
"2018 - 2019","Loudoun County Public Schools","Sugarland Elementary",SCH,Homeless,,ENGR,"English Reading",41,38,3,59,34
